61448       70.4997
61449       70.9058
61450       70.8055
61451       71.0891
61452       70.9855
61453       70.8991
61454       70.8032
61455       70.7274
61456       70.5965
61457       70.7578
61458       70.7633
61460       70.6278
61461       70.7271
61462       70.6444
61463       70.6763
61464       70.635
61465       70.5967
61466       70.649
61467       70.6761
61468       70.6093
61469       70.5855
61470       70.61
61471       70.6148
61472       70.6881
61476       70.5898
61477       70.5884
61478       70.3062
61479       70.5873
61480       70.6219
61481       70.775
61788       66.6071
61789       66.0802
61790       66.2616
61932       65.7505
61933       66.0128
61935       66.3092
61936       66.569
61937       66.3849
61938       66.7307
61940       66.9493
61944       66.458
61946       66.8099
61947       66.9106
61948       67.1478
61949       67.3222
61950       67.2831
61951       67.1087
61954       66.9967
61955       66.8991
61956       67.2271
61957       66.3816
61960       66.7548
